writer,location,date,time,news,title,class
حمد الصويلحي,الرياض,2021-01-25,12:26,فرض الروماني رازفان لوشيسكو مدرب فريق الهلال الأول لكرة القدم أمس تدريبات متنوعة طبق خلالها عددا الجمل الفنية والتطبيقات التكتيكية تأهبا لمواجهة الفيصلي اليوم ضمن الجولة 15 دوري كأس محمد بن سلمان للمحترفين واصل الثنائي علي البليهي وفواز الطريس برامجهم التأهيلية واللياقية تأكد غيابهما اللقاء وغادرت بعثة الفريق الهلال التدريبات أمس مدينة المجمعة تأهبا للمواجهة استمرارا للسياسة فرضها الروماني رازفان لوشيسكو مدرب الفريق بمغادرة الفريق قبل المباراة بيوم واحد عكس المواسم الماضية كان يغادر الفريق يوم اللقاء,رازفان تدريبات متنوعة,0
علي الحدادي,الرياض,2021-01-25,12:26,اختتم كارلوس فيرنانديز مدرب فريق الشباب الأول لكرة القدم أمس تحضيراته ملعب النادي الرديف استعدادا لمواجهة الوحدة اليوم ضمن مباريات الجولة 15 دوري كأس محمد بن سلمان للمحترفين واستهل فيرنانديز تدريباته بتمارين إحماء وتسخين ولياقية خفيفة للاعبين بإشراف أحمد ترفاس مدرب اللياقة عقب أخضع اللاعبين لتطبيق عدد الجمل الفنية التكتيكية خلال مناورة اطمأن خلالها جاهزيتهم للقاء ليغادر الفريق مدينة الطائف أجل خوض اللقاء ملعب الشرائع مكة المكرمة,الشباب يناور ويغادر,0
طلال القطيني,حفر الباطن,2021-01-25,12:26,أجرى البرتغالي جاريدو مدرب فريق الباطن الأول لكرة القدم خلال الحصة التدريبية أمس استعدادا للقاء العين تأجل اليوم غد لظروف الطيران ضمن مباريات الجولة 15 دوري كأس محمد بن سلمان للمحترفين عدة تغييرات كشفت نواياه الهجومية وعزمه خطف نقاط المباراة خلال الزج بصالح آل عباس المهاجم بجوار الأنجولي فابيو أبرو خط الهجوم سيعوض عمر العودة غياب حسن رغفاوي الظهير الأيسر الغائب بسبب البطاقات الملونة واشتلمت التدريبات الجوانب التكتيكية تركزت اللمسة الواحدة والضغط حامل الكرة,جاريدو يستهدف الهجوم,0
عبد الرحمن أبو محروس,خميس مشيط,2021-01-25,12:25,خاض فريق ضمك الأول لكرة القدم صباح أمس حصة تدريبية استعدادا لمواجهة التعاون اليوم إطار الجولة 15 دوري كأس محمد بن سلمان للمحترفين وأدى لاعبو الفريق تمارين لياقية بالكرة بداية الحصة التدريبية جانب تناقل التمريرات القصيرة وفرض الكرواتي كريسمير ريزتش مدرب الفريق مناورة تكتيكية نصف مساحة الملعب لتطبيق أفكاره الفنية وغادر الفريق أبها الرياض القصيم برا لملاقاة التعاون,ضمك يتسلح باللياقة,0
محمد السناني,المجمعة,2021-01-25,12:23,أنهى فريق الفيصلي الأول لكرة القدم تحضيراته لمواجهة الهلال اليوم ضمن الجولة 15 دوري كأس محمد بن سلمان للمحترفين وتركزت التدريبات أجريت ملعب النادي مدينة حرمة الجوانب الفنية الخفيفة واتسمت بالطابع الترفيهي وفرض البرازيلي بريكليس شاموسكا مدرب الفريق اللاعبين إجراء التمريرات القصيرة بينهم والاعتماد اللمسة الواحدة واصل حراس المرمى تدريباتهم تحت إشراف بورديانو دانييل مدرب الحراس وشهدت التدريبات حضور فهد المدلج رئيس النادي,شاموسكا يركز التمريرات القصيرة,0
حسن ذيبان,أبها,2021-01-25,12:22,حول فريق القادسية الأول لكرة القدم خسارته 0ـ2 أمام مضيفه أبها التعادل 2ـ2 المباراة جرت ملعب مدينة الأمير سلطان بن عبد العزيز الرياضية أبها ضمن الجولة 15 لدوري كأس محمد بن سلمان للمحترفين ورفض فيصل مسرحي حارس القادسية تحقيق أبها الفوز الأول لقاءات الفريقين دوري المحترفين عندما نجح صد ركلة جزاء لأبها نفذها السويدي كارلوس ستراندبيرج الدقيقة 89 والتعادل الثالث للقادسية التوالي للمرة الأولى مارس 2011 أنه يخسر خارج ملعبه آخر 4 مباريات أبها خسر مرة واحدة فقط آخر 8 مباريات أرضه دوري كأس محمد بن سلمان للمحترفين فاز 4 وتعادل ثلاث وخسر مباراة واحدة وسجل لأبها صالح العمري وسعد بقير 20و42 وللقادسية حسن العمري وخالد الغنام 50 و63 ورفع فريق أبها رصيده 21 نقطة والقادسية 20 نقطة,مسرحي يحرم أبها التاريخي,1
عادل الدحيلان,الأحساء,2021-01-25,12:22,اعترف البلجيكي يانيك فيريرا مدرب فريق الفتح الأول لكرة القدم بأن فريقه يقدم المستوى المطلوب أمام الرائد أمس وبالتالي يكن يستحق النصر وقال كان الممكن نقدم أداء أفضل ونحقق نتيجة إيجابية لكننا نكن يومنا سنعمل معالجة الأخطاء قبل انطلاقة الدور الثاني وأضاف اللاعبون خرجوا متأثرين بالهزيمة كرة القدم ويجب نتعامل واقعها نفقد المزيد النقاط,فيريرا مستوانا متواضع,0
عادل الدحيلان,الأحساء,2021-01-25,12:22,عبر البلجيكي بيسنيك هاسي مدرب فريق الرائد الأول لكرة القدم سعادته بالمستوى المتميز قدمه لاعبوه وتوجوه بالفوز الفتح بهدفين مقابل فترة طويلة الانتظار وقال هاسي لعبنا تحت ضغط عدم الفوز لفترة طويلة ونجحنا إحراز هدف مبكر وسنحت العديد الفرص وسجلنا الهدف الثاني عندما كنا نتعرض للضغط وأضاف الفوز ستعود الثقة للاعبين,هاسي تجاوزنا الضغوط,0
عادل الدحيلان,الأحساء,2021-01-25,12:20,نجح فريق الرائد الأول لكرة القدم تحقيق فوزه الخامس تاريخيا مضيفه الفتح عندما تغلب بهدفين مقابل اللقاء جرى بينهما أمس الأحساء ضمن الجولة 15 لدوري كأس محمد بن سلمان للمحترفين والفوز الأول للرائد 62 يوما كان آخر انتصار حققه الجولة الخامسة أبها 23 نوفمبر 2019 عندما تجاوزه بهدفين مقابل هدف يتعرض الرائد للخسارة أمام الفتح 4 مباريات متتالية فاز اثنتين وتعادل اثنتين والخسارة الخامسة للفتح آخر 6 مباريات أرضه وسجل هدفي الرائد الكاميروني أرناود دجوم ومحمد السهلي ورفع الرائد رصيده 16 نقطة بينما تجمد رصيد الفتح 18 نقطة,62 يوما الرائد ينتصر,1
حسن ذيبان,أبها,2021-01-25,12:18,رفع حسن العمري لاعب فريق القادسية الأول لكرة القدم رصيده الأهداف 8 بفضل الهدف سجله أمس مرمى أبها ركلة جزاء الدقيقة 50 والهدف الرابع يسجله العمري نطقة الجزاء توقف رصيد السويدي كارلوس ستراندبيرج مهاجم أبها 10 أهداف ألغى الحكم هدفا الرجوع وإضاعته لركلة جزاء الدقائق الأخيرة,العمري يتقدم,1
خالد الشايع,الدمام,2021-01-25,12:17,خطف فريق الأهلي الأول لكرة القدم فوزا صعبا مضيفه الاتفاق 2ـ1 اللقاء جمعهما أمس ملعب الأمير محمد بن فهد الدمام ضمن الجولة 15 لدوري كأس محمد بن سلمان للمحترفين وأصبح أقوى المنافسين الصدارة رفع رصيده 29 نقطة متساويا الهلال المتصدر سيلعب اليوم أمام الفيصلي والخسارة الرابعة التوالي للاتفاق الأهلي المرة الأولى يخسر أربع مرات متتالية الأهلي دوري المحترفين تغيير مسماه موسم 2008ـ2009 فشل الاتفاق الحفاظ نظافة شباكه آخر 10 مباريات ضد الأهلي وتلقى مجموع 29 هدفا المباريات بمعدل 3 أهداف المباراة الواحدة إجمالا تلقى الاتفاق أهدافا شباكه ضد الأهلي منافس آخر 48 هدفا وحافظ الأهلي تفوقه التاريخي الاتفاق دوري المحترفين مسجلا فوزه الثاني عشر مقابل خمسة انتصارات اتفاقية و4 تعادلات الأهلي فاز بالنتيجة ذاتها إبريل 2014 وتسببت هبوط الاتفاق دوري الدرجة الأولى وتكررت أيضا 31 أغسطس 2019,4 مباريات متتالية الأهلي يخسر الاتفاق,1
وليد الصيعري,الدمام,2021-01-25,12:17,أرجع الصربي فلادان مدرب فريق الأهلي الفوز تحقق الاتفاق أمس جهد وإصرار اللاعبين وقال أشكر اللاعبين قدموه عطاء طوال 96 دقيقة توجوه بالفوز والظفر بنقاط المباراة وأضاف الاتفاق فريق قوي والفوز يكن سهلا الآن أرى اللاعبين ملتزمون تكتيكيا ولدينا عمل طويل سيظهر الجولات المقبلة,فلادان انتصرنا بجهد اللاعبين,0
حسين الخيواني,الدمام,2021-01-25,12:16,استعان سلطان الحربي الحكم بتقنية الفيديو ثلاث حالات الشوط الأول مرة كان يتخذ قرارا يعجب الأهلاويين الأولى الدقيقة 25 عندما شك لمس الكرة ليد لاعب اتفاقي منطقة الجزاء ولكنه يحتسب ركلة جزاء والثانية هدف أهلاوي اتضح ميتريتا كان متسللا والثالثة 5 دقائق الحالة الثانية كشفت تقنية الفيديو عدم وجود ركلة جزاء,الفيديو يغضب الأهلاويين,0
وليد الصيعري,الدمام,2021-01-25,12:12,استعان خالد العطوي مدرب فريق الاتفاق الأول لكرة القدم بزياد مشبب المساعد الفني ضمن الطاقم التدريبي أمام الأهلي أمس للمرة الأولى لينضم جانب أحمد المالكي والبحريني علي مجيد وحضر مشبب المدرجات لقراءة مجريات المباراة وتوجيه العطوي بالأخطاء يستطيع رؤيتها داخل الملعب وعمل زياد مشبب سابقا برنامج ابتعاث المواهب السعودية يحظى بدعم الأمير عبد العزيز بن تركي وزير الرياضة,العطوي يستعين بزياد مشبب,0
متعب العبد الهادي,الرياض,2021-01-25,12:11,سجل البرازيلي رومارينيو مهاجم فريق الاتحاد الأول لكرة القدم هدفا متأخرا مرمى النصر لتنتهي مباراة الكلاسيكو أمس بالتعادل 1ـ 1 ويجدد ذكريات موسم 2010ـ2011 نجح فريقه المحافظة سجله الخالي الخسارة أمام الهلال والنصر والأهلي والشباب الدور الأول الدوري السعودي للمحترفين وقبل 11 عاما تفادى الفريق الاتحادي الخسارة أمام الهلال والنصر والأهلي والشباب الدور الأول فاز الأهلي 3ـ1 وتعادل الشباب والنصر بنتيجة واحدة 2ـ2 أمام الهلال 1ـ1 ليعود الموسم الجاري وينهي الدور الأول بفوز الأهلي 2ـ0 وتعادل الشباب والهلال والنصر بنتيجة واحدة 1ـ1 وسبق للفريق الاتحادي كرر الأمر ذاته الدور الأول النسخة الأولى دوري المحترفين انطلق موسم 2008ـ2009 ووقتها فاز الأهلي والشباب بنتيجة واحدة 2ـ1 وتعادل النصر 2ـ2 وأيضا أمام الهلال 0ـ0 قرار يبعد السواط غاب عبد المجيد السواط لاعب وسط فريق الاتحاد الأول لكرة القدم قائمة فريقه لقاء الكلاسيكو أمام النصر أمس بقرار فني البرازيلي فابيو كاريلي مدرب الفريق وفضل مدرب الاتحاد استبعاد السواط القائمة جانب عبد الرحمن اليامي المهاجم اكتمال جاهزية عبد العزيز البيشي والرأس الأخضري جاري رودريجيز وسبق للسواط المشاركة أساسيا مباراة لعب بديلا 7 مواجهات أخرى,رومارينيو يعيد الاتحاد 11 عاما,1
فيصل الشريف,جدة,2021-01-25,12:10,سبق خمسة لاعبين أجانب صفوف فريق الاتحاد الأول لكرة القدم بعثة فريقهم الوصول ملعب مدينة الملك عبد العزيز الرياضية الشرائع استعدادا للقاء النصر أمس قمة الجولة 15 دوري كأس محمد بن سلمان للمحترفين ووصل بريجوفيتش وردوريجيز ورومارينيو وجروهي وهنريكي لاعبو الاتحاد الملعب تمام 04 50 مساء وبعدهم بخمس دقائق وصلت حافلة النصر حافلة الاتحاد فقد وصلت تمام 05 07 مساء,أجانب الاتحاد أول الواصلين,0
فيصل الشريف,جدة,2021-01-25,12:08,توقفت الانتصارات المتتالية لفريق النصر الأول لكرة القدم تحت إشراف ألن هورفات المدرب الكرواتي بسقوطه فخ التعادل أمام مضيفه الاتحاد بنتيجة 1 1 أمس قمة الجولة 15 للدوري وقاد الكرواتي هورفات تولى المهمة خلفا للبرتغالي روي فيتوريا المقال منصبه الفريق النصراوي الفوز أربع مباريات التوالي وكان قاب قوسين أدنى تحقيق الفوز مباراته الخامسة تقدم فريقه بهدف السبق طريق خالد الغنام 63 انطلاقة الفريق تعثرت بالتعادل الأول بعدما أحرز البرازيلي رومارينيو هدفا قاتلا الدقيقة الثالثة الوقت المحتسب بدلا الضائع وبهذه النتيجة رفع النصر رصيده 21 نقطة المركز السادس مؤقتا رفع الاتحاد رصيده 25 نقطة المركز الرابع المرة الرابعة الغامدي أساسيا شارك رائد الغامدي مهاجم فريق النصر الأول لكرة القدم التشكيلة الأساسية أمام الاتحاد للمرة الثانية تواليا والرابعة النسخة الحالية دوري كأس محمد بن سلمان للمحترفين ونجح الغامدي ظهر بديلا 7 مباريات أخرى وضع بصمته بتسجيله هدفا وصناعة هدفين وشهدت تشكيلة النصر أمس تغييرين مقارنة بالتشكيلة فازت الوحدة 3ـ1 الجولة الماضية اعتمد الكرواتي هورفات مدرب الفريق مادو بدلا العمري المصاب وشارك الغانم مكان بيتي 4 مباريات بلا فوزء أخفق فريق النصر الأول لكرة القدم تحقيق الفوز الاتحاد للمباراة الرابعة تواليا الدوري السعودي للمحترفين تعادلهما الإيجابي بنتيجة 1 1 لقاء الكلاسيكو جمع الفريقين أمس الجولة 15 دوري كأس محمد بن سلمان للمحترفين ويعود الفوز الأخير للنصر الاتحاد موسم 2018 2019 كسب الكلاسيكو بهدفين مقابل هدف ضمن منافسات الجولة 14 وبعدها لعب النصر 3 مباريات الدوري يتذوق طعم الانتصار خسر مباراة وتعادل مرتين,التعادل الأول يوقف فرقة هورفات,1
الرياضية,القاهرة,2021-01-25,12:07,استغرب المصري محمد كمال ريشة المحلل التحكيمي الرياضية قرار خالد صلوي حكم مباراة الكلاسيكو الاتحاد والنصر بعدم احتساب ركلة جزاء لرائد الغامدي لاعب النصر تعرضه للدفع داخل منطقة الجزاء قبل البرازيلي جروهي حارس المرمى الاتحادي وأوضح ريشة الحكم وفق عدم احتساب ركلة جزاء لامست الكرة يد بيتروس لاعب النصر مبينا اليد كانت الوضع الطبيعي صادق صحة قرار الحكم بإلغاء هدف البيشي لاعب الاتحاد بداعي التسلل 29 الكرة تصطدم بيتروس لاعب النصر وقرار صحيح الحكم بعدم احتساب ركلة جزاء 30 جروهي حارس الاتحاد يدفع رائد الغامدي لاعب النصر وكان الحكم احتساب ركلة جزاء 36 الكرة تلمس يد مدافع الاتحاد واستمرار اللعب قرار صحيح 40 قرار صحيح باحتساب تسلل مهاجم الاتحاد 63 هدف صحيح للنصر سجله خالد الغنام 69 هدف ملغى للاتحاد بداعي التسلل قرار صحيح 3 90 هدف صحيح لرومارينيو لاعب الاتحاد,ريشة رائد يستحق ركلة جزاء,1
فيصل الشريف,جدة,2021-01-25,12:05,عاد الرأس الأخضري جاري رودريجيز جناح فريق الاتحاد الأول لكرة القدم للمشاركة المباريات عقب غياب دام 34 يوما بعدما دفع البرازيلي فابيو كاريلي مدرب الفريق الشوط الثاني للقاء الكلاسيكو أمام النصر أمس ضمن الجولة 15 دوري كأس محمد بن سلمان للمحترفين وشارك رودريجيز الفريق جميع الجولات الأولى قبل يتعرض لإصابة المفصل خلال مباراة مواجهة الرائد 21 ديسمبر الماضي انتهت بالتعادل السلبي ليخضع برنامج علاجي وتأهيلي غاب إثره خمس مواجهات الدوري,رودريجيز يظهر 34 يوما,0
الرياضية,الدمام,2021-01-25,12:05,عطل فريق هجر الأول لكرة القدم انطلاقة مضيفه الحزم متصدر دوري الأمير محمد بن سلمان لأندية الدرجة الأولى بالفوز 1ـ0 أمس ملعب نادي الحزم ضمن الجولة 17 الدوري الخسارة الثانية للفريق الموسم سجل هدف الفوز لهجر أسامة البوغانمي 11 دقيقة صافرة البداية كرة قوية سددها خارج منطقة الجزاء ليتوقف بذلك رصيد الحزم متصدر الدوري النقطة 43 14 فوزا وتعادل وحيد مقابل هزيمتين ارتقى هجر المركز الرابع مؤقتا بلوغه النقطة 30 تسعة انتصارات وثلاثة تعادلات مقابل خمس خسائر والفوز الخامس لهجر الحزم تاريخ لقاءات الفريقين دوري الأولى مقابل ستة انتصارات للحزم وأربعة تعادلات المرة الرابعة يفوز هجر الحزم بنتيجة 1ـ0,هجر يعطل انطلاقة المتصدر,1
مازن العسرج,الرياض,2021-01-25,12:05,يتطلع فريق الطائي الأول لكرة القدم معادلة رقم نظيره الفيحاء التفوق مواجهاتهما المباشرة دوري الأمير محمد بن سلمان لأندية الدرجة الأولى عندما يلتقيان اليوم ضمن الجولة 17 والتقى الفريقان ست مواجهات سابقة فاز الفيحاء ثلاث مقابل انتصارين للطائي والتعادل مرة واحدة يعد لقاء اليوم السابع بينهما وتلعب أربع مباريات أخرى اليوم يواجه فريق عرعر نظيره الجبلين ويحل النجوم ضيفا أحد ويلعب النهضة أمام الثقبة ويستقبل الجيل فريق الساحل الأحساء,الطائي والفيحاء مواجهة سابعة,0
